KPI_Name,Current_Value,Target_Value,Formula_Reference,Period,Status
Daily Revenue,324.21,400.00,=SUMIFS(FinancialTracking[Total_Amount],FinancialTracking[Invoice_Date],TODAY()),Today,Below Target
Monthly Revenue,1250.45,8000.00,=SUMIFS(FinancialTracking[Total_Amount],FinancialTracking[Invoice_Date],">=1/3/2024"),March 2024,Below Target
Work Orders Completed Today,2,4,=COUNTIFS(WorkOrders[Date_Completed],TODAY()),Today,Below Target
Work Orders In Progress,2,3,=COUNTIF(WorkOrders[Status],"In Progress"),Current,On Target
Pending Appointments,6,8,=COUNTIF(Schedule[Status],"Scheduled"),Current,On Target
Overdue Invoices,1,0,=COUNTIFS(FinancialTracking[Payment_Status],"Overdue"),Current,Above Target
Parts Below Reorder Point,3,0,=SUMPRODUCT((PartsInventory[Quantity_OnHand]<=PartsInventory[Reorder_Point])*1),Current,Above Target
Customer Satisfaction,4.2,4.5,=(Manual Entry),Current,Below Target
Average Labor Hours per WO,2.4,2.0,=AVERAGE(WorkOrders[Labor_Hours]),Current,Above Target
Profit Margin Percentage,35.2%,40.0%,=(Revenue-Costs)/Revenue*100,Current,Below Target

ALERTS,,,,
Alert_Type,Message,Priority,Action_Required
Low Inventory,"3 parts below reorder point",High,Order P005 P007 P010
Overdue Payment,"Client C003 has overdue balance",Medium,Contact customer
Schedule Conflict,"Bay 2 double-booked tomorrow",High,Reschedule appointment
Parts Delivery,"5 parts arriving today",Low,Receive inventory

DAILY SUMMARY,Value,Target,Variance
Revenue Today,324.21,400.00,-75.79
Labor Hours Billed,7.5,8.0,-0.5
Parts Sold,12,15,-3
New Customers,0,1,-1
Completed Jobs,2,4,-2
