Part_ID,Part_Number,Description,Category,Supplier,Supplier_Part_Number,Cost_Price,Selling_Price,Markup_Percent,Quantity_OnHand,Min_Stock_Level,Max_Stock_Level,Reorder_Point,Reorder_Quantity,Location,Last_Ordered,Last_Sold,Turn_Rate_Annual
P001,OF-5W30-4.73L,Motor Oil 5W-30 4.73L,Fluids,Valvoline,VV589,12.50,25.00,100%,48,10,100,15,25,A1-Shelf3,2024-02-15,2024-03-01,52
P002,OF-Standard,Oil Filter - Standard,Filters,Fram,PH3593A,8.75,17.50,100%,25,5,50,8,20,A2-Bin1,2024-02-20,2024-03-01,36
P003,BP-Front-Ceramic,Brake Pads Front Ceramic,Brakes,Wagner,ZD792,35.00,89.50,155%,12,3,30,5,15,B1-Shelf1,2024-02-10,2024-03-02,24
P004,BF-DOT3-32oz,Brake Fluid DOT3 32oz,Fluids,Valvoline,VV344,4.25,8.50,100%,18,5,40,8,20,A1-Shelf1,2024-02-28,2024-03-02,30
P005,OS-Lambda-Universal,O2 Sensor Lambda Universal,Sensors,Bosch,13477,65.00,150.00,130%,8,2,20,3,10,C1-Bin2,2024-01-15,2024-03-03,12
P006,TF-ATF-Dexron,Transmission Fluid ATF Dexron,Fluids,Castrol,CTX75,18.50,37.00,100%,24,6,50,10,25,A1-Shelf2,2024-02-25,2024-03-04,18
P007,TFK-Universal,Transmission Filter Kit,Transmission,ACDelco,TF289,28.75,75.00,160%,6,2,15,3,8,B2-Shelf1,2024-01-20,2024-03-04,8
P008,SP-Iridium-Set,Spark Plugs Iridium Set of 4,Ignition,NGK,ILTR5A13G,42.00,89.00,111%,15,4,30,6,12,C1-Bin1,2024-02-18,2024-02-28,20
P009,AF-Performance,Air Filter Performance,Filters,K&N,33-2304,18.90,39.95,111%,10,3,25,5,15,A2-Bin2,2024-02-05,2024-02-25,22
P010,CV-5Qt-Coolant,Coolant 50/50 5Qt,Fluids,Prestone,AF2100,13.25,26.50,100%,20,5,40,8,20,A1-Shelf4,2024-03-01,2024-02-20,16
